Method,Naive top-1,Branching top-1,Top-5 overlap,Top-10 overlap,Spearman rho,Kendall tau,Mean abs. rank diff,Max abs. rank diff
TOPSIS,NO,SE,5,10,0.9931034482758619,0.9458128078817732,0.6206896551724138,2
VIKOR,SE,SE,5,9,0.9743842364532018,0.8866995073891624,1.4482758620689655,4
