scenario,method,rank,CountryCode,Q,S,R
S0_Balanced,VIKOR,1,SE,0.0,0.43373530236626123,0.047901392288046074
S0_Balanced,VIKOR,2,NO,0.401172253976357,0.5463000225074658,0.06781061510958529
S0_Balanced,VIKOR,3,DK,0.48937432726288843,0.6611859183511661,0.06536587901051734
S0_Balanced,VIKOR,4,AT,0.5146187970602143,0.691918725296123,0.06482880412818638
S0_Balanced,VIKOR,5,PT,0.5224393226174571,0.7021632989298779,0.06460764186723422
S0_Balanced,VIKOR,6,FI,0.5302986694250402,0.6658542895673484,0.06791261359599812
S0_Balanced,VIKOR,7,EE,0.6996835204961822,0.7172198581790814,0.07602830619409469
S0_Balanced,VIKOR,8,IS,0.7055051515642192,0.7007536880699312,0.07768708282657708
S0_Balanced,VIKOR,9,ES,0.7460616903206352,0.8068889796159688,0.07252828398027461
S0_Balanced,VIKOR,10,DE,0.7546915206678095,0.80945263375519,0.07294579847166378
S1_ElectricityPriority,VIKOR,1,SE,0.2587850265798435,0.4837132890969077,0.07664222766087372
S1_ElectricityPriority,VIKOR,2,IT,0.3941914350067826,0.8055039792797005,0.07303987581799577
S1_ElectricityPriority,VIKOR,3,PT,0.5043102089029439,0.6985849422357034,0.07639596245697713
S1_ElectricityPriority,VIKOR,4,FI,0.5520032871248695,0.6757557947365099,0.07744914938631192
S1_ElectricityPriority,VIKOR,5,HR,0.6165056322645124,0.839688590261095,0.0755516214665456
S1_ElectricityPriority,VIKOR,6,NO,0.6281868063367557,0.5883561535029364,0.08
S1_ElectricityPriority,VIKOR,7,AT,0.65294200164473,0.7065572126578172,0.07832900909104257
S1_ElectricityPriority,VIKOR,8,LV,0.6542302721692201,0.7919696252398407,0.07689047167353709
S1_ElectricityPriority,VIKOR,9,FR,0.6685361972753902,0.8264600629366616,0.07650147549035322
S1_ElectricityPriority,VIKOR,10,DK,0.6714992666062303,0.6254217402204361,0.07997087000656038
S2_TransportPriority,VIKOR,1,SE,0.09533099945272458,0.42256405120487683,0.07560728930629024
S2_TransportPriority,VIKOR,2,NO,0.10341591326445003,0.5230074353973492,0.06986091019979168
S2_TransportPriority,VIKOR,3,AT,0.6385396399227368,0.654365239774609,0.09396485881566209
S2_TransportPriority,VIKOR,4,FI,0.7693952225301403,0.6842159283876237,0.1
S2_TransportPriority,VIKOR,5,DK,0.7800257336020628,0.6945408820050522,0.1
S2_TransportPriority,VIKOR,6,IS,0.8140730727679137,0.7276095835289845,0.1
S2_TransportPriority,VIKOR,7,PT,0.820696495158651,0.7412774977347548,0.09955098897960717
S2_TransportPriority,VIKOR,8,EE,0.8513231411954758,0.7637889568590625,0.1
S2_TransportPriority,VIKOR,9,IT,0.8844948090762617,0.8187462613208266,0.09858876441492374
S2_TransportPriority,VIKOR,10,FR,0.886457204464597,0.8262438192639621,0.09824174017127613
S3_HeatingCoolingPriority,VIKOR,1,SE,0.0,0.4408297949553335,0.06567110439351746
S3_HeatingCoolingPriority,VIKOR,2,FI,0.2560266365024027,0.668712259465198,0.06569771783343764
S3_HeatingCoolingPriority,VIKOR,3,FR,0.41354508483501207,0.8056088019734187,0.06572110197729594
S3_HeatingCoolingPriority,VIKOR,4,DE,0.5512952645033472,0.8288996927211196,0.06594599726236235
S3_HeatingCoolingPriority,VIKOR,5,NO,0.6122530799551246,0.546246613040052,0.06666666666666667
S3_HeatingCoolingPriority,VIKOR,6,IT,0.7252669089423525,0.815477167018272,0.06632085556554114
S3_HeatingCoolingPriority,VIKOR,7,PT,0.7455295258141516,0.6714064648117404,0.06666666666666667
S3_HeatingCoolingPriority,VIKOR,8,DK,0.7509565426862137,0.6765029739727682,0.06666666666666667
S3_HeatingCoolingPriority,VIKOR,9,EE,0.7695399521383922,0.693954645627544,0.06666666666666667
S3_HeatingCoolingPriority,VIKOR,10,CY,0.7875744305619079,0.7799446310154576,0.06652025541162372
S4_FinalConsumptionPriority,VIKOR,1,SE,0.0,0.3878340742079269,0.07643210675796286
S4_FinalConsumptionPriority,VIKOR,2,NO,0.4189709721789363,0.5275898880895251,0.10849698417533647
S4_FinalConsumptionPriority,VIKOR,3,DK,0.5030906510603534,0.6482780772064078,0.10458540641682774
S4_FinalConsumptionPriority,VIKOR,4,FI,0.5255979944933165,0.6347331756800617,0.108660181753597
S4_FinalConsumptionPriority,VIKOR,5,AT,0.5358021717087121,0.6892870540423923,0.10372608660509823
S4_FinalConsumptionPriority,VIKOR,6,PT,0.5406425962643464,0.6973842909373135,0.10337222698757478
S4_FinalConsumptionPriority,VIKOR,7,IS,0.6836690571226519,0.6557633768679547,0.1242993325225233
S4_FinalConsumptionPriority,VIKOR,8,EE,0.7032479773127231,0.6994591715139666,0.12164528991055153
S4_FinalConsumptionPriority,VIKOR,9,ES,0.7603737808750718,0.8077648318941355,0.11604525436843939
S4_FinalConsumptionPriority,VIKOR,10,DE,0.7698154627610299,0.8114027088488054,0.11671327755466208
