Scenario,TOPSIS top-1,VIKOR top-1,Top-5 overlap,Top-10 overlap,Spearman rho,Kendall tau,Mean absolute rank difference
S0_Balanced,SE,SE,3,8,0.8985221674876845,0.7389162561576353,2.8275862068965516
S1_ElectricityPriority,SE,SE,3,10,0.8901477832512312,0.7142857142857142,3.103448275862069
S2_TransportPriority,NO,SE,4,9,0.9310344827586206,0.7881773399014778,2.413793103448276
S3_HeatingCoolingPriority,SE,SE,3,8,0.9275862068965516,0.7832512315270934,2.5517241379310347
S4_FinalConsumptionPriority,SE,SE,4,9,0.8822660098522165,0.7438423645320196,2.689655172413793
